#ObjectID	MJD	Range	Phase angle	RA	DE	dRA	dDE	Length	Beta	A*rho	m_abs	m_app	Luminosity	Shadow	Lon	Lat
#	d	m	deg	deg	deg	arcsec / s	arcsec / s	arcsec	--	m2	mag	mag	W	--	deg	deg
00028	60234.365142882	7.537e+06	2.25046	214.53403	2.77211	132.33216	154.06275	1.41037	0.67408	2.52828	30.05798	31.74142	4.142e+14	False	57.78063	2.67778
00029	60234.365142882	7.536e+06	2.21507	219.00520	8.60572	141.76105	150.31159	1.43483	0.67408	2.52828	30.05798	31.70698	4.142e+14	False	62.24303	8.54998
00030	60234.365142882	7.536e+06	2.14947	223.61661	14.38687	154.87382	144.89544	1.47282	0.67408	2.52828	30.05798	31.64023	4.142e+14	False	66.84384	14.36832
00031	60234.365142882	7.535e+06	2.05677	228.47220	20.07470	172.17035	137.35553	1.52950	0.67408	2.52828	30.05798	31.54071	4.142e+14	False	71.68683	20.09076
00032	60234.365142882	7.534e+06	1.94265	233.69023	25.62092	193.97970	127.08161	1.61042	0.67408	2.52828	30.05798	31.41273	4.142e+14	False	76.89010	25.66824
00033	60234.365142882	7.533e+06	1.81393	239.40828	30.96493	220.04221	113.34721	1.71889	0.67408	2.52828	30.05798	31.26535	4.142e+14	False	82.59109	31.03982
00034	60234.365142882	7.532e+06	1.67725	245.78731	36.02886	248.89376	95.44525	1.85116	0.67408	2.52828	30.05798	31.10998	4.142e+14	False	88.95079	36.12787
00035	60234.365142882	7.531e+06	1.53823	253.00916	40.71086	277.34429	72.97019	1.99155	0.67408	2.52828	30.05798	30.95711	4.142e+14	False	96.15154	40.83134
00036	60234.365142882	7.530e+06	1.40111	261.25960	44.87834	300.69741	46.18530	2.11266	0.67408	2.52828	30.05798	30.81432	4.142e+14	False	104.38051	45.01896
00037	60234.365142882	7.529e+06	1.26871	270.68490	48.36541	314.11046	16.25347	2.18424	0.67408	2.52828	30.05798	30.68580	4.142e+14	False	113.78691	48.52638
00038	60234.365142882	7.528e+06	1.14273	281.30833	50.98013	314.47939	-14.87780	2.18633	0.67408	2.52828	30.05798	30.57314	4.142e+14	False	124.39855	51.16287
00039	60234.365142882	7.527e+06	1.02410	292.92669	52.53288	301.71861	-44.94391	2.11839	0.67408	2.52828	30.05798	30.47625	4.142e+14	False	136.01736	52.73908
00040	60234.365142882	7.526e+06	0.91327	305.05980	52.88609	278.79493	-71.96522	1.99954	0.67408	2.52828	30.05798	30.39415	4.142e+14	False	148.16565	53.11629
00041	60234.365142882	7.525e+06	0.81057	317.04967	52.00476	250.50733	-94.72497	1.85985	0.67408	2.52828	30.05798	30.32556	4.142e+14	False	160.18272	52.25730
00042	60234.365142882	7.524e+06	0.71646	328.29081	49.97118	221.60232	-112.91172	1.72715	0.67408	2.52828	30.05798	30.26916	4.142e+14	False	171.45620	50.24217
00043	60234.365142882	7.524e+06	0.63175	338.41798	46.95140	195.36653	-126.89909	1.61779	0.67408	2.52828	30.05798	30.22378	4.142e+14	False	-178.38600	47.23536
00044	60234.365142882	7.523e+06	0.55780	347.33585	43.14064	173.34637	-137.38258	1.53601	0.67408	2.52828	30.05798	30.18842	4.142e+14	False	-169.44311	43.43116
00045	60234.365142882	7.523e+06	0.49673	355.13247	38.72166	155.84886	-145.08928	1.47869	0.67408	2.52828	30.05798	30.16224	4.142e+14	False	-161.62813	39.01184
00046	60234.365142882	7.523e+06	0.45136	1.97844	33.84654	142.56585	-150.63401	1.44029	0.67408	2.52828	30.05798	30.14460	4.142e+14	False	-154.76987	34.12927
00047	60234.365142882	7.523e+06	0.42464	8.06162	28.63423	133.00099	-154.48149	1.41561	0.67408	2.52828	30.05798	30.13494	4.142e+14	False	-148.67937	28.90247
00048	60234.365142882	7.523e+06	0.41846	13.55611	23.17588	126.68958	-156.95582	1.40074	0.67408	2.52828	30.05798	30.13278	4.142e+14	False	-143.18149	23.42291
00049	60234.365142882	7.523e+06	0.43238	18.61288	17.54182	123.28776	-158.26314	1.39317	0.67408	2.52828	30.05798	30.13768	4.142e+14	False	-138.12442	17.76162
00050	60234.365142882	7.523e+06	0.46362	23.36117	11.78713	122.60025	-158.51166	1.39161	0.67408	2.52828	30.05798	30.14922	4.142e+14	False	-133.37830	11.97468
00051	60234.365142882	7.523e+06	0.50829	27.91270	5.95717	124.58644	-157.72331	1.39579	0.67408	2.52828	30.05798	30.16699	4.142e+14	False	-128.83102	6.10874
00003	60234.365142882	7.523e+06	0.50959	39.52323	5.97162	124.63550	-157.68135	1.39577	0.67408	2.52828	30.05798	30.16753	4.142e+14	False	-117.21812	6.10874
00004	60234.365142882	7.524e+06	0.57974	43.98068	0.10713	129.40082	-155.79631	1.40644	0.67408	2.52828	30.05798	30.19850	4.142e+14	False	-112.76910	0.20430
00005	60234.365142882	7.524e+06	0.65374	48.43609	-5.75758	137.21928	-152.65989	1.42546	0.67408	2.52828	30.05798	30.23507	4.142e+14	False	-108.32365	-5.70099
00006	60234.365142882	7.524e+06	0.73014	52.98374	-11.58621	148.49554	-148.01352	1.45600	0.67408	2.52828	30.05798	30.27697	4.142e+14	False	-103.78749	-11.56934
00007	60234.365142882	7.525e+06	0.80805	57.72362	-17.34002	163.72211	-141.47000	1.50261	0.67408	2.52828	30.05798	30.32396	4.142e+14	False	-99.06071	-17.36073
